"",INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,entity_id,contract_id,price_range
24727945,FUTSTK,IDEA,2019-10-31,0.0,XX,6.0,6.0,5.55,5.6,5.6,9680,15298.58,237328000,138320000,2019-09-23,100,42667,0.4500000000000002
25702941,FUTSTK,IDEA,2019-10-31,0.0,XX,5.7,5.75,5.3,5.55,5.55,13309,20653.4,372540000,135212000,2019-09-24,100,42667,0.4500000000000002
32074914,FUTSTK,IDEA,2019-11-28,0.0,XX,4.0,4.25,3.75,3.85,3.85,10771,11929.65,391580000,120708000,2019-10-30,100,14365,0.5
32732762,FUTSTK,IDEA,2019-11-28,0.0,XX,3.75,4.0,3.35,3.9,3.9,16434,17016.18,503076000,111496000,2019-10-31,100,14365,0.6499999999999999
28032288,FUTSTK,IDEA,2019-09-26,0.0,XX,5.55,5.75,5.25,5.3,5.3,6697,10293.13,301532000,100240000,2019-08-27,100,57059,0.5
31020281,FUTSTK,IDEA,2019-11-28,0.0,XX,4.1,4.1,3.7,3.9,3.9,10744,11665.44,270872000,90384000,2019-10-29,100,14365,0.39999999999999947
15773687,FUTSTK,IDEA,2019-11-28,0.0,XX,2.7,3.95,2.45,3.7,3.7,24701,22992.56,632380000,85736000,2019-11-15,100,14365,1.5
29144342,FUTSTK,IDEA,2019-09-26,0.0,XX,5.3,5.35,4.95,5.0,5.0,11759,16608.5,376684000,75152000,2019-08-28,100,57059,0.39999999999999947
26754073,FUTSTK,IDEA,2019-10-31,0.0,XX,5.55,5.6,5.25,5.35,5.35,7758,11910.41,444556000,72016000,2019-09-25,100,42667,0.34999999999999964
30183971,FUTSTK,IDEA,2019-09-26,0.0,XX,5.0,5.3,4.8,4.85,4.85,10324,14406.71,447132000,70504000,2019-08-29,100,57059,0.5
