"",INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,entity_id,contract_id,price_range
21298316,FUTSTK,MRF,2019-09-26,0.0,XX,58268.8,64708.45,58118.2,64060.45,64060.45,2006,12528.81,15080,-570,2019-09-20,95,16054,6590.25
21298317,FUTSTK,MRF,2019-10-31,0.0,XX,58380.0,64700.0,58203.6,64205.4,64205.4,452,2825.92,2270,1000,2019-09-20,95,23559,6496.4000000000015
21298351,FUTSTK,PAGEIND,2019-10-31,0.0,XX,19373.8,22330.0,18946.5,22155.25,22155.25,1250,6533.33,19200,3025,2019-09-20,132,19526,3383.5
21298350,FUTSTK,PAGEIND,2019-09-26,0.0,XX,19525.05,22545.35,19229.95,22329.5,22329.5,4325,22902.29,195750,-11675,2019-09-20,132,50886,3315.399999999998
27840307,FUTSTK,MRF,2019-09-26,0.0,XX,64400.0,65466.95,62182.45,62937.35,62867.2,514,3319.9,640,-2450,2019-09-26,95,16054,3284.5
21298161,FUTSTK,EICHERMOT,2019-09-26,0.0,XX,15849.1,18974.0,15774.5,17919.65,17919.65,20422,89791.15,341650,-43350,2019-09-20,162,19697,3199.5
21298162,FUTSTK,EICHERMOT,2019-10-31,0.0,XX,15939.6,18937.15,15847.95,17973.4,17973.4,3089,13623.33,39300,15575,2019-09-20,162,37348,3089.2000000000007
27840308,FUTSTK,MRF,2019-10-31,0.0,XX,64411.15,65699.75,62701.0,63346.05,63346.05,1999,12788.34,20380,5140,2019-09-26,95,23559,2998.75
8261022,FUTSTK,MRF,2019-11-28,0.0,XX,63290.25,65709.9,62750.25,64600.25,64600.25,4046,26001.81,18150,-1180,2019-11-08,95,61562,2959.649999999994
956016,FUTSTK,MRF,2019-10-31,0.0,XX,63889.0,64178.45,61255.0,62200.15,62200.15,714,4480.08,20240,-320,2019-10-01,95,23559,2923.449999999997
